,food_aspect,service_aspect,ambience_aspect
1179,,"NA, amb: Goo",Good ambience and good to take photos
1180,"Squid is fresh, Fish and chips nicely done, Unique potato cuts",,Great atmosphere
1181,babycino and cake,,
1182,"Good food, Very limited options for vegetarians",,unique atmosphere
1183,"""ordinary and nth too fancy"" ",NA ,"""ambience definitely made up for it"""
1184,,,"warehouse in the Balestier area, right off the PCN passing through the Whampoa area"
1185,,no one is keeping,bikes by the entrance are there (for show?)
1186,"portion, taste, overpriced, small, thin, vegetables, not fresh,",,
1187,"taste was okay, visuall very instagram worthy",,good atmosphere
1188,Unique menu ,"NA, amb: Nic","Nice ambiance and hipster vibes, a bit too crowded for my liking"
1189,,,
1190,,amazing people and smart concept,nice place to spend your time in Singapore
1191,'The food was amazing','The service was quick and friendly','Very chill place for brunch'
1192,The food/beverage/cakes on the average safe,,The interior is awesome i would like to recommend all to come visit at least once. The place is instalgramable.
1193,"Nice food, food still good, good portion, nice presentation ","use to have lots of bicycle 🚲 on sale, not any more ",
1194,small portions for the money,,"eclectic, bike-themed, neighborhood, warehouse cafe, lots free parking on weekends"
1195,latte is nice and at affordable price,,love the bicycle themed cafe and its whole concept is really amazing
1196,'Lime squid was lovely ...cakes was awesome .......but price was steep for small portions ...','its more like '$$.5'','Ambience interesting but not everyone's cup of tea  ....it's also a little out …'
1197,'Food is great','Fish and chips abit overpriced i felt','Unique location and very impressive interiors. Otherwise chill vibes'
1198,"cakes were okay, signature ice ball coffee were blunt tasting, Price was fair. ",service crews were not enthusiastic,"Ambient was good, Indoor seating, air-conditioned. "
1199,"Durian chocolate cake, Boston cheese cake, Ice ball coffee and Match Latte","NA, amb: Really innovative, and they have really nic","Really innovative, and they have really nice ambience and decorations"
1200,chocolate milkshake is below average,attitude,"environment is pleasant, operating hours make you feel that you are chased through"
1201,'food is expensive and service is ok only I don't see what's the hype here .. the food is normal too . Just got an apple pie with ice cream .. chocolate milkshake and truffles','service is ok only I don't see what's the hype here','This place is quite secluded but surprisingly there is a crowd'
1202,The food was delicious,"The service was excellent, amb: Th",The ambience was great
1203,'food is decent','service kinda meh. The server kinda makes you appreciate foreigners in our service industry. Can't blame the servers though. Someone needs to write a better SOP and conduct proper',"'Coffee is good, environment is good'"
1204,"""food that is also very photogenic"" ",NA ,"""unusual interior of a warehouse"", ""Nice place for photos"", ""cozy environment"""
1205,finger food,Nice quiet place with free parking,Quiet place
1206,"""the food is considered on the average side"" ",NA ,"""The cafe's concept is pretty impressive"" "
1207,,,Interesting hide-out cafe
1208,'Food is pretty okay...' ,NA ,'Not crowded... Great for a quiet gathering... Free parking... Price is reasonable too...'
1209,"'Food is less than mediocre. Not worth the money. Scrambled eggs are watery, toast is barely toasted, the bacon is a piece of wood. Where are the eggs of the French toast?' ",NA ,
1210,"""The food was great,""","""the service was friendly,"", amb: ""th","""the ambience was cozy."""
1211,"portion sizes are decent, food is alright at best",,
1212,,'Real bad service',
1213,"Limited food options and the fish and chips was so dry, wouldn't recommend",One time experience 👍🏼,It's more dramatic in pictures but in real it's kinda alright
1214,,Mediocre experience in the past,"removed the outdoor sitting, “No pets allowed” signs are everywhere"
1215,,,
1216,'Food was great','location is off the beaten track so definitely taxi here','plenty of hipster vibes'
1217,'overpriced for the quality of food and drink','underwhelming (oftentimes even downright unfriendly - …',
1218,Good food,"NA, amb: rusti",rustic ambience
1219,really good food ,,Funky space
1220,,,A dining room in a renovated warehouse with the theme of cycling li...
1221,huge portion sizes on the salads,coffee and staff are extremely helpful,loved it there
1222,"The food is delicious, I really enjoyed the seafood spaghetti,",,
1223,"The coffee is very well executed with good texture, temperature and no foam. The milk (Meiji) is fine too, but the problem is the flavour of the beans. I remember the flavour being more robust some years back when they used Karajoz beans. Not sure what’s used now.",,
1224,,Great for,
1225,western food and drinks,,cosy cafe
1226,"Simple and yummy food for sharing, Generous serving of vegetables for mains",Acceptance and cozy crowds,
1227,"'tenderness at its perfection', 'seafood aglio olio', '60degC chicken breast'  ","NA, amb: 'same grea",'same great ambience on a Saturday afternoon'
1228,tomato based pasta,waiter was giving me a very uncomfortable and judgemental stare and look,
1229,'Food is not bad',,'Unique dining place in what seems like a warehouse with bicycles as decoration'
1230,Excellent food and tasty too. Must try their Chlli Crab Pasta.,Good to have a reservation if you are coming in a group.,Such a cozy yet chic place.
1231,good selection of food and drinks,friendly service,right next to the park connector you can just ride your bike in
1232,'Tasty food',,'cool location'
1233,"'The salted caramel cake is quite good, coffee is ok'",,"'Had a pleasant tea break, the atmosphere cozy'"
1234,good food,nice staff,fun place
1235,"quality is there, taste was on point, doneness perfect, portions are decent,",,"Ambience is pretty amazing, love the design and feel, can't quite get this anywhere else in Singapore, Parking will be tricky if there are more people visiting"
1236,"'service and food', 'fries served are not hot', 'feedback they just bring it back'","'lady server isn't friendly at all', 'have attitude problem'","'table is not well cleaned', 'It's very sticky'"
1237,cake ,"NA , amb: Grea",Great ambience for afternoon tea
1238,"Excellent coffees, interesting snacks",,very unique decor
1239,The place is located at a quaint area which can be reached by bus or cab. They also have free parking in the building beside.,,The place is located at a quaint area which can be reached by bus or cab. They also have free parking in the building beside.
1240,"French toast was more like a doughnut, portions overall were quite small for that price ","Coffee was nice , amb: Would only go for th",Would only go for the ambience
1241,"""As for food, the beef in...""","NA, amb: ""Super luv this old schoo","""Super luv this old school ambience..brought back many childhood memories such as the super old metal type of toilet door and barber chairs...cosy and a place that I can spent a whole day in due to its peacefulness!"""
1242,,"Heard from the waiter, amb: Like th",Like the ambience
1243,,,
1244,good food,free parking available,"bicycle themed cafe with cosy setting, mini garage sale outside the cafe"
1245,Variety of beer is limited. ,Parking is a problem.,Warm.. ac isn't cold. Not recommended.
1246,,poor service,Garbage venue
1247,"""decent food today"", ""good food prior"", ""Porky bowl was surprisingly decent"", ""Not fantastic but decent""  ",,
1248,,,Nice place to chill on weekday afternoons.
1249,excellent food ,attentive service ,pleasant atmosphere
1250,"""beef burger""",,"""Bicycle themed cafe"", ""Great for group meetings or cafe dates"", ""Price is above average"""
1251,sous vide chicken+waffles and BBQ ribs,Nothing amazing but better than average,Nice to drop by for its uniqueness
1252,The food was amazing,"The service was great, amb: Th",The ambience was cozy and the staff was friendly.
1253,Grille chicken is tasty ,"Good place for a gathering with your loved ones , amb: Nic","Nice ambience and spacious, Limited free parking"
1254,none,"free parking, amb",ambient was great
1255,'The food is horrible for the price',,'If you want to go to a place that's insta-worthy and have nothing else to offer then this place is for you.'
1256,"Food is below average. Ordered the avocado French toast, barely find avocado, parma ham taste weird and smelly, bread got smell and extremely dry. ",,
1257,Decent for choices,,"Typical customers are youngsters and westerners, Decor"
1258,Fish & chip is nice especially with truffle fries. BBQ sauce pork ribs equally gd too but if they hv selection other than BBQ sauce will be better.,,
1259,Nice cold drip coffee,", amb: relaxed and comf",relaxed and comfy ambience
1260,good coffee,Always nice to be here,Cool place
1261,espresso ball ,NA ,
1262,'Food is delicious and coffee is nice too!','Staff is attentive to customers' needs. They respond very promptly when help is needed.','This is a good place for chilling out and catching up with friends.'
1263,"Serving decent food and cafe prices, I had the fish and chips. Potato wedges were nicely flavored and well cooked but the fish was a little on the small side. ",NA ,Located off the busy road it's a bicycle service station with a cafe. Overall a quiet place to hang out at.
1264,,couldn't have the individual table seats,"wasn't crowded, even the individual tables were not filled"
1265,Lots of improvement in terms of food,Staff is friendly and well trained,
1266,Average food quality,,Good environment
1267,,service from the cashier is pretty bad,Nice cosy place
1268,"Brunch was nice, We order this waffle pancake for dessert and that was great, We also had a drink,",,"It was quiet when I visited around lunch on Saturday, It has interesting, quaint decor - cycling stuff... really nice and casual place..."
1269,disappointed. Not worth paying for such average standard. Cakes - carrot not fresh. Cream has weird taste. ,friendly and efficient. ,cozy atmosphere.
1270,'Food was top notch',"NA, amb: 'Rusti","'Rustic ambience, lots of seating, interesting deco, Instagram worthy location...'"
1271,"""Food is awesome. Ordered aglio olio spaghetti and it tasted so good, portion was just nice too. Had a set and the salad is yummy too.""",,"""Thumbs up for a hidden gem in Balestiar area!"""
1272,,,unique cafe
1273,The food was delicious,"the service was excellent, amb: 'Cosy' is the perfect word to describe th",'Cosy' is the perfect word to describe the ambience of the restaurant.
1274,delicious coffee,,Spacious space for a relaxing afternoon
1275,,,Great place for family
1276,The food was great,"The prices are not cheap, and the cocktails are not strong",Loved the vibe of this place and the bike shop
1277,good coffee,,nice chilling place
1278,,,Great place to chill
1279,"The food isn’t great, just passable. Don’t order the avo toast, it ain’t great and they toast your Parma ham! You might as well use bacon. That’s just inappropriate handling of food. And the guac was just",,A very okay place to have brunch.
1280,Presentation of food items are wonderful. Food taste average. ,Visited on a Saturday night and it was too crowded. Staff can be impolite such as taking the menu away without asking or using the table as a place to rest their basket of glasses while they arrange the glasses for the water. ,Ambience is nice and cozy.
1281,"truffle fries, soft shell crab pasta, big breakfast, toast, sourdough, wholemeal,",,
1282,"'seemed more like a cafe and dessert place but we had good fish and chips, plus roasted chicken and waffle'",,
1283,'taste of the food is average',,"'building and interior of the restaurant is amazing', 'plating was equally impressive'"
1284,good for coffee,,good for cyclists
1285,'Lame and the food is not even one star good.','Waste of money.',
1286,,"Dogs friendly, price reasonable.",
1287,Nice food ,slow service ,Nice space
1288,The food was delicious,"The service was friendly and helpful, amb: Th",The ambiance was cozy and inviting
1289,,"NA, amb: Unique cafe with a coz",Unique cafe with a cozy ambiance
1290,,free flow water,perfect for chit chat
1291,,,The location is difficult to reach using public transportation
1292,The chicken salad and the burger were delicious ,Will return ,
1293,,,"Interesting decor here. As it is also a bike shop, there are a lot of bikes as well as rubber smell :D …"
1294,,,
1295,,,Totally Instagram worthy cafe tucked at the corner
1296,'Food decent',,"'Very interesting hangout place, like the setup.'"
1297,Never ate the food here,drinks are okay,"Cozy place to chill with friends, reasonably priced"
1298,have a meal,,Nice place for casual hangout with friends
1299,"'Best fish and chips I have ever had - fish was really fresh and chips perfectly done. Amazing. Actually very good value for the quality, portion size'",'good service','ambience 👍 …'
1300,'good food','friendly staff','nice environment'
1301,"""the food is delicious too""",,"""Love the interior and all the decorations! This place is for bike lovers out there."""
1302,"good food, coffee ","good service, amb: Very interesting decoration with lots of bicycles. Goo",Very interesting decoration with lots of bicycles. Good ambient
1303,Coffee doughnut and iced latte,,relaxed vibes
1304,'Good food',"'The service was excellent', amb: 'th",'the ambience was cozy and inviting'
1305,,,Cool place. Hope it does not close down because it is tucked away
1306,,,Terrible acoustics. Gets crazy loud in here. Amazing venue otherwise. 
1307,'Food is nice','Friendly','lovely decorated place'
1308,great food,great atmosphere,must try
1309,"""worst food""","""worst service""",
1310,'food is good','service was good',
1311,Fish and Chips (with truffles fries) and 60 Celcius Chicken Breast,Her service was excellent!,Unique cafe with a bicycle theme
1312,The food is good,the service is excellent,the atmosphere is cozy
1313,'amazing food','top-notch',"'Great vibes', 'cozy and inviting'"
1314,Decent food,,Nice place to hang around
1315,"rice bowls, latte, dessert",,
1316,Masala chai tea is the best I had in sgp. Very fragrance smell. The herbs infused with tea is just correct proportion. Deep fry shishamo fish is tasty yet not oily.,service staff is still fantastic.,
1317,'Food and drinks is over priced. Typical cafe food.' ,NA ,'Out of the way location. Nice place for a layback afternoon.'
1318,,,Nostalgic bike yard
1319,,,"great atmosphere, place gets a bit crowded during weekend brunch"
1320,Food was decent and I do enjoy some creative touches to the food.,,"Although a little hard to locate, the place is very cozy with a nice touch of industrial vibe. Definitely not many such places in and around Singapore."
1321,,,"Cozy cafe for especially bike lovers, Away from MRT station and not easy to find this place"
1322,,,
1323,Mediocre food. Katsu tastes like cardboard.,Air conditioning wasn't working when we were there.,
1324,'good' food,"'great' service, amb: 'luxurious",'luxurious' ambience
1325,"Didn't have to wait too long for food, good beer on draft","It’s mostly self service, means it’s efficient too","Clean and spacious, clean bathrooms too, Parking is limited otherwise it will be a 5 star!"
1326,"good food, drinks,",,nice hidden gem
1327,"porky bowl, hulk, rice bowl, pork,",,"cozy place, nice aircond, clean dining place"
1328,"'the food is not worth the price.', 'mentaiko pasta tasted off.', 'brownie picture look nice but hard and dry.'",,
1329,Nice food,"NA, amb: Even nice",Even nicer ambient
1330,The food was delicious,"The service was top-notch, amb: Th","The ambience was really nice, with cozy booths and a great view."
1331,Good was average,,A cosy themed Cage
1332,'the food is super good',,
1333,food variety and pricing are decent,"service is good, amb: Nice cozy place for a drink and meal, Th","Nice cozy place for a drink and meal, The ambiance is good, It is located off Balestier Road, in an old (and nicely decorated) warehouse"
1334,Food quality was good,"Very bad service, Staff did not bother to entertain request, overall experience was totally spoilt with their service",
1335,Good food ,great environment ,great
1336,'Food is nice',,"'Nice place to chill for bikers, slightly dark'"
1337,Coffee is good too.,,"Although location can be quite inaccessible, it is still worth to visit this cafe, it’s good for catch up session with friends."
1338,,,"High sealing makes me relax. Since the locution is distance from MRT and bus, atmosphere is peaceful."
1339,,,Instagram worthy cafe that worth going once.
1340,"Amazing food, cool beer, Good for a Sunday afternoon,","Family friendly,",can get busy
1341,"The weekend brunch, coffee, wine collection,",,bicycle theme café
1342,,,Interesting place to have group gathering or brunch
1343,Mentaiko pasta,,
1344,egg bens,all day brekkie till 3pm,
1345,,,
1346,'food was good',,'the setting was cosy and family friendly'
1347,'Food was great!!',"'The service was terrible', amb: 'th",'the ambience was not good'
1348,The food here is pretty good too,,"Nice cafe for coffee and cakes, Very limited parking space though"
1349,nice foods,,cosy place
1350,'delicious food',"NA, amb: 'coz","'cozy ambiance', 'very spacious', 'perfect for people who love bicycles'"
1351,ok only,,nice place to bring pets
1352,beef bowl and mentaiko spaghetti,,
1353,"full meal, full portion of food,","Limit free,","Nice spacious bistro, 4 pm, not much of a crowd"
1354,'Food is good',,'Cafe is comfortable for chilling out. There is a dedicated section for bicycle enthusiasts that is selling bicycle accessories and parts.'
1355,'lousy food','horrendous service',
1356,lousy food,lazy staff,dirty tables
1357,,'Awesome service','Awesome atmosphere'
1358,"Nice coffee, decently priced upwards of $4.50,",,air conditioned and bicycle themed :D
1359,,,"'front yard of the cafe', 'blue metal garage of the cafe'"
1360,"The food and coffee are pretty good, taking one star off as the food may take too long to prepare,","staffs may look a bit disorganized,",it's a nice place to dine in as well to take photos in.
1361,,Parking can be a challenge here due to limited parking availability.,Interesting venue within a warehouse that also retail and service bicycles.
1362,"'Food is generally good, above average and coffees are decent'",,"'Great place to hang out and catch up with friends for coffee, brunch or a meal. They also serve up craft beers though limited, but also other alcoholic beverages'"
1363,Great food,great atmosphere,"great atmosphere, Price is average"
1364,"chicken & waffle, Porky Bowl, Truffle Fries, doneness of the egg,",,
1365,,,"'Nice place to hang around for coffee', 'Cool place for bicycle lovers with interior decorated with classic bikes'"
1366,Good get together place for dinner among friends,Limiting parking up front and can get busy during weekend brunch,Hidden from the main road of Balisteir is this gem of a bike shop cum cafe
1367,,,Very cool place
1368,"food is OK, isn't really value-for-money,","NA, amb: Nic",Nice ambience
1369,average food ,,"decent decor, pricey menu"
1370,"tomato soup is tasty, Fish & chips is typical one, I’d like to recommend vegetable rice bowl.",,"This is very unique cafe. Its concept can be accepted by outdoor lovers, cyclist, motorcycle lovers etc."
1371,'good food',"'group gathering', 'big square table', 'photo taking'","'hip place', 'great place', 'bikes'"
1372,"suki beef rice bowl -$19.9, espresso -$4.5",,place is nice and quite (have background music)
1373,,,
1374,'Ok food and coffee','The food was served a bit slow','The place looks good'
1375,Food is excellent ,,"atmosphere is good, area is not conducive for parking"
1376,'Food is ok only and pricey for the quality' ,'Very rude staff' ,'Looks so dusty and run down compared to the pics they have out'
1377,,Nice place,for a drink
1378,'Food taste great',,'Atmosphere very cosy and spacious'
1379,no service charge no GST,feels like eating at a foodcourt cos order at counter and get a buzzer and collect from kitchen counter yourself. They don’t even give serviettes on,
1380,,,Relax and quiet for a leisure afternoon.
1381,,"Went around 6pm for a coffee, Nice space, The coffee was also very...","Really cool vibe, Reminds me of when I lived in New York, Has a Bushwick/Brooklyn vibe which is maybe under appreciated in Singapore, It was very chill, not too crowded, Nice space"
1382,'Food was mediocre tho. We had the beef bowl and chicken breast.',,"'Loved the theme, decor and hipster vibes. It was quiet enough for good conversatons.'"
1383,"""Food isnt awesome, but it isnt horrible either"" ",NA ,"""Cute little restraunt seated near a bike path. It also has a small bike shop too. Really recommend checking out this cute little restraunt!!"""
1384,,"Service is a bit faceless, which is not ok when you run a niche F&b entity","The whole concept is great, personally it feels they could open the potential of this hangar way more"
1385,The food was delicious,"The service was friendly and efficient, amb: Th",The ambience was cozy and inviting
1386,"good value, platter for sharing,",,"great atmosphere, park in the next building over"
1387,Food is good,"service is fast, amb: th",the ambience is nice
1388,,,A great place to hangout with friends.
1389,,Poor service. The guy at the cashier was very unempathetic when he said I can't utilize a Burpple promotion. He sounded very pompous and had a smug look when he mentioned that I had to pay full price. Very unprofessional for a customer service job.,
1390,'reasonably priced food','Best Iced long black I've had in Singapore so far','Heaps of space to work at the tables'
1391,"quality is good, prices are above average",they could make more effort for the outdoor ambience,"outdoor area is dog friendly, even though they have fans it's quite hot, outdoor furniture is not very comfortable, indoor area is nice"
1392,"Nice food, ok prices,","self service,",really bad location
1393,'Food is of good standard',"'Nice and friendly staff, accommodating to make arrgt for children's chair and high back for the elderly'",'quiet environment for brunch hours...'
1394,The food is delicious,"The service is top notch, amb: Th",The ambience is really cozy and inviting.
1395,'Food is really good','Servive is really fast',
1396,"bland, average,",Accessible for wheelchair bound person,
1397,'the food menu wasn't particularly expansive',,"'A cool place, worth a visit'"
1398,'Food is fine',,'Cool decor'
1399,"Cafe type food, reasonable prices",,Quaint and nice spot. Dog friendly.
1400,The food is really great and is really great for a brunch.,,
1401,,"NA, amb: Nic",Nice ambience! Cool place
1402,Nice food,,environment for brunch and lunch
1403,,showed them my Doctor’s certificate,
1404,Excellent food,Service,
1405,The food is not that affordable.,,
1406,The food was delicious and the portions were generous,"The service was impeccable, the wait staff was friendly and accommodating",The atmosphere was cozy and inviting
1407,,,"Crowded in weekends, nice alternative place"
1408,'beef burger was bad','save the money',
1409,"""Food quality was great."" ",NA ,"""Loved the atmosphere though it can get noisy when it's crowded. Still an enjoyable place to have bites and coffee."""
1410,'foods are good',,'Nice place to chill'
1411,'the food suck' ,NA ,'Lovely place'
1412,Great dinner,experience,
1413,"""The food was great""","""the service was fast"", amb: ""Nice atmosphere"" and ""th","""Nice atmosphere"" and ""the ambiance was cozy"""
1414,The food is always fresh and delicious,"the service is attentive and friendly, amb: th",the ambience is cozy and inviting
1415,"nice cuppa, really nice brunch,",great for groups,nice cosy place
1416,"Nice food, brunch menu,","helpful staff,","crowded, charm, cuts off at 3pm-sharp"
1417,,denied to all tables except the table facing out the window,crowded but seats are not fully filled yet
1418,The coffee is amazing lah!,Very good lah!,The location is a bit far off but the decor is so ...
1419,Ice Espresso Ball,Nice!,
1420,Porky bowl. It's just a normal don with bacon. Nothing special. Maybe you should try the beef bowl instead. ,NA ,
1421,,"managed to get a seat, do a reservation to avoid any",The crowd was flowing in
1422,"really expensive mains and sides, food portions are also small, don’t expect to be too pleased if you are going there on an empty stomach, unless you don’t mind dishing out the cash,",,
1423,'The food was delicious',"'the service was excellent', amb: 'Th",'The ambience was cozy and inviting'
1424,"'the food and coffee makes it worthwhile', 'food is really great', 'consider it as a restaurant'  ",,'not convenient to access to'
1425,"""Food is moderately good"" ",NA ,
1426,,Poor service,
1427,'the food was slightly overpriced for the quality',,
1428,The food was amazing,"The service was great, amb: Th",The ambience was so cozy and inviting
1429,'Food here is excellent',,
1430,Deliciously spacious worthy food,chillax ,limited lots
1431,,,
1432,,,'Like the warehouse feel!'
1433,"Food is quite good, enjoyed my beef bowl very much, high side,",,"offbeat cafe hidden in a yard in Balestier, Instagram worthy place, young crowd"
1434,'fish and chips with truffle fries.. nth fantastic',,
1435,'Food is average',,'Nice place to relax and chill'
1436,Great food ,Staff are friendly ,Love the environment
1437,"The food was okay, nothing special. ","The service was great , amb: Th",The ambience was very pleasant. 
1438,good food preparation,"NA, amb: nic",nice ambience
1439,,,
1440,nice coffee and food,,nice place to hang out
1441,'loved the food','staff and management all aware BUT no words from them about the issue','saw a rat running across the dining area'
1442,,,Nice place and vibe
1443,Good food great and unique,,"Large tables for big groups, A bit pricey"
1444,,problem with the air-conditioning,"nice cosy place, very warm and stuff"
1445,,,Nice rustic enclave for a quiet meal.
1446,Suki beef bowl was awesome,,
1447,average,,"limited for bikes, Smaller than anticipated"
1448,the foood here,tough to get in sometimes due to the popularity,
1449,Great food,Highly recommended,Love the decor
1450,love the food ,"none , amb: love th","love the ambiance, high warehouse ceiling, great place to chill with friends"
1451,Had to collect your own food and proceed to counter and order yourself.,,"Environment is nice and cozy, good place to relax over an afternoon."
1452,'the food is good too','Cozy and nice place to hang out 😊 and can bring ur furry 🐈🐕🐩friend too','Bike 🏍🚴‍♂️park go thru the main gate by the ride side small alley'
1453,"so so yet expensive, not much variety,","self service,","uncomfortable chairs for dining in the al fresco area, not a convenient location to get to without a car"
1454,'Food is still ok but slightly overpriced','Guess you're paying for the atmosphere','if you're into that'
1455,,Nice change from the norm.,
1456,'Food is good too',,'Nice chill place to hangout at'
1457,'I love the food',"'Overall all is good', amb: 'th",'the ambience. Bit hard to find as their location is slightly behind the buildings. You wouldn't think that there is a very good cafe hidden amongst the factory buildings around.'
1458,,,Interesting concept cafe
1459,Food is highly priced. ,staff very friendly. ,Ambience very attractive. cosy place to gather with friends.
1460,,,'The bike collection is amazing!'
1461,,,Great all time hang out place
1462,,,Good chill out place. Lots of photo opps.
1463,,'The bicycle rack I got is good and affordable',
1464,good for steaks and western food,good for team dinners and evening meet ups,"good cycle cafe themed restaurant, kind of deep inside and away from the busy streets, can be accessed via the PCN"
1465,wide ranging menu,,eclectic cycle-themed cafe
1466,,,"tastefully remodeled what I imagine is an old warehouse, this eatery uses a bicycle theme for its interior. Outside, you can also purchase..."
1467,"Great food, Self-service food ordering and collection.","Good for friends and family gathering., amb: Grea",Great ambience.
1468,'not the food',,'place is better to chill'
1469,,,outdoor sitting area (which is about 30 m away from the main indoor area and tucked away in a quiet corner)
1470,The food was delicious,"the service was outstanding, amb: th",the ambience was great
1471,Nice coffee,,place
1472,the food is delicious,"the service is friendly and attentive, amb: th",the ambience is cozy and inviting.
1473,"'Food wise is acceptable, not utterly fantastic though'",,'Love the environment'
1474,"""Good food"", ""food poisoning"" ",,"""environment"""
1475,average food,Good coffee,Great setting
1476,'Food was good',,'Fun atmosphere'
1477,'The food was good',,"'Nice cozy place with a lot of character.  Formerly a bike shop, people who bike would love this place.  The place is picturesque so snap away.'"
1478,The food is delicious,the service is top notch,The atmosphere is warm and inviting
1479,brekkie was big and filling ,NA ,"Cool space, coffee was a bit on the pricey side"
1480,The coffee is very good,,"interior is quite uncommon, which is really nice"
1481,,"NA, amb: Goo",Good ambience. Tasteful design rustic yet modern. Every corner is a photo opportunity.
1482,,,Its cozy
1483,Great food,,
1484,"Pretty pricey grub,",,"cute vibes, local Archipelago craft beers"
1485,decent food,"NA, amb: Nic",Nice ambiance
1486,"special ice ball coffee, Hazelnut smell","creatively serve good coffee, Well done!",
1487,"various dishes tasted have been well liked, food preparation is prompt",service is prompt,spacious cafe located in an industrial area away from bustling activity on the weekends
1488,"okay, worthwhile,","friendly,",
1489,The food was delicious ,"the service was great , amb: Love th",Love the ambience
1490,'Decent coffee and food',,
1491,The Hulk,,parking space available
1492,Nice place for food,Nice place for drinks,
1493,'The food was delicious',"'The service was excellent', amb: 'Th",'The ambiance was cozy and inviting.'
1494,mentai pasta was too watery,waiter apologized and offered a discount,
1495,none,none,Very quaint and rustic place nestled away from main street. Has a cosy eating place with  bicycle decor. Also has a bicycle shop catering for repairs and spares.
1496,"""One of the worst eggs Benedict I've had. The English muffin was fairly old and the poached eggs were not cooked right.""","""Also the whole concept of self service could be changed when there's almost no one in the restaurant. A lot of service …""",
1497,"heard of Wheeler's Yard, photo on Instagram, recommended by food blogs, well known hipster cafe,",,themed around
1498,"Good food, sublime drinks, prices are quite expensive for even coffee,","Location however means it’s not easy to get to,","enchanting cafe to hang out in, a haven for cyclists"
1499,"'nice ambience and good food', 'try the starters: cauliflowers and squids', 'main: chicken and bbq ribs are spot on for us', 'no service charge' ","'self service' , amb: 'nic",'nice ambience'
1500,"great food, sweet potatoes",good happy hour beer prices,chill place to hang out
1501,Food standards are so so.. not worth the price..,,
1502,The food is mediocre ,the people that work here need to be retrained in customer service. Most of the staff didn't seem like they wanted to be there ,No outlets
1503,"""The food taste great""",,"""the place is actually hidden from the outside but perfectly cozy inside"""
1504,'delicious food','','Thoroughly enjoyed the atmosphere'
1505,"The food is also delicious, with a wide variety of options that are sure to please.","The service is friendly and attentive, making sure that all customers are taken care of., amb: The atmosphere is very romantic and quiet, with a coz","The atmosphere is very romantic and quiet, with a cozy ambience and great music."
1506,Good coffee and good food,,Very spacious place which allows me to chill alone.
1507,"good prices, drink prices are okay,"," NA, amb: nice cafe, relaxin","nice cafe, relaxing ambience, warehouse setting, lots of bikes on display and for sale"
1508,really good coffee,,
1509,,,
1510,Good menu ,Reservations recommended for large groups especially on weekends ,"nice interior, Children-friendly"
1511,Nice food,"NA, amb: Nic",Nice ambience
1512,small plates and mains,cool gadgets for cyclists,rustic warehouse feel in the 80s
1513,Desserts are quite good ,Self ordering at counter ,"Spacious interior that can hold larger groups, Insta photo opp at the entrance"
1514,"The atmosphere was warm and inviting, with a great selection of food and beverages. The wait staff was friendly and attentive, and the food was delicious.",The wait staff was friendly and attentive,Good environment! The atmosphere was warm and inviting.
1515,'food' ,"NA , amb: 'nic",'nice ambience'
1516,Prices a lil steep tho ,"Came here on a Saturday which was surprisingly not that crowded, so they let us have a table all to ourselves ",
1517,'Food is normal but priced a bit high',,
1518,Food is expensive. There is a cake cutting charges if you would like bring in cakes into the premises. There is service charge for food to be served to the table. ,There is service charge for food to be served to the table.,Dont really understand the hype.....
1519,,,'Love the whole environment of this. Pricing is a little steep but a perfect place to chill out with friends or someone you fancy'
1520,,,'The entrance is at the back'
1521,Great menu,great service,
1522,'yummy food',,"'spacious', 'romantic at night'"
1523,Food is not great and overpriced. Onions soup taste weird.,"When we provide feedback on onions soup, nobody come to apologise and explain.",
1524,,,"Convenient parking, nice atmosphere"
1525,,Service staff could have smile alittle more and be friendlier,Nice atmosphere
1526,Good food,"Prices are a little expensive, amb: fu",fun ambiance
1527,"The food was good (the egg could be more creamy, a little too watery). The pistachio cake was amazing!",,Great deco with a certain character to the cafe.
1528,The food was delicious ,The service was excellent ,Nice and cozy place to dine in. 
1529,"rawness of doumiao sprouts, eggs benedict, too little hollandaise sauce, raw veg taste, yolk and sauce",,
1530,"Good coffee, Pretty cakes, Updated 2023,",,"A bit noisy, Cosy"
1531,,,"nice cosy coffee aroma, 10 minutes ride by car"
1532,,Good service.,Nice atmosphere. Outdoor seating is pleasant. Pet friendly.
1533,"great food, nice drinks,","friendly staff,","very nice and cozy place, perfect relaxing place"
1534,"'Super Good English Brekkie', 'good scran',",'waitress (G) is a peng ting','insane vibes' 
1535,Fresh bakes are great,,comfortable place for a coffee early morning
1536,Good coffee and pastries,friendly service,laid back vibe
1537,best coffee and baked products ,NA ,great atmosphere
1538,'Food slightly on the expensive side and normal tasting',"'The service and ambience however were excellent!' , amb: 'The service an",'The service and ambience however were excellent!'
1539,"Good coffee and very good pastries, love their basil croissants",,
1540,"good coffee and cakes, lemon drizzle cake and carrot cake",none,"Lovely place, always busy"
1541,"The quiche, ganache cake and frappé were delicious ",NA ,
1542,,,Interesting concept using antiques as their props. It’s like back to typical 80/90s houses.
1543,pastries on display looks delicious,good customer service with warm greetings,"visited this place for the first time on a rainy Sunday afternoon, crowded but only waited for 5 mins"
1544,,"The first time I visited, it was near their closing time, but still the male staff on duty greeted me warmly and even mentioned about some last hour specials they had",
